Name;Platform;Genre;Publisher;Global_Sales (MM);Year
Wii Sports;Wii;Sports;Nintendo;82.74;2006
Super Mario Bros.;NES;Platform;Nintendo;40.24;1985
Mario Kart Wii;Wii;Racing;Nintendo;35.82;2008
Wii Sports Resort;Wii;Sports;Nintendo;33.0;2009
Pokemon Red/Pokemon Blue;GB;Role-Playing;Nintendo;31.37;1996
Tetris;GB;Puzzle;Nintendo;30.26;1989
New Super Mario Bros.;DS;Platform;Nintendo;30.01;2006
Wii Play;Wii;Misc;Nintendo;29.02;2006
New Super Mario Bros. Wii;Wii;Platform;Nintendo;28.62;2009
Duck Hunt;NES;Shooter;Nintendo;28.31;1984
Nintendogs;DS;Simulation;Nintendo;24.76;2005
Mario Kart DS;DS;Racing;Nintendo;23.42;2005
Pokemon Gold/Pokemon Silver;GB;Role-Playing;Nintendo;23.1;1999
Wii Fit;Wii;Sports;Nintendo;22.72;2007
Wii Fit Plus;Wii;Sports;Nintendo;22.0;2009
Kinect Adventures!;X360;Misc;Microsoft Game Studios;21.82;2010
Grand Theft Auto V;PS3;Action;Take-Two Interactive;21.4;2013
Grand Theft Auto: San Andreas;PS2;Action;Take-Two Interactive;20.81;2004
Super Mario World;SNES;Platform;Nintendo;20.61;1990
Brain Age: Train Your Brain in Minutes a Day;DS;Misc;Nintendo;20.22;2005
Pokemon Diamond/Pokemon Pearl;DS;Role-Playing;Nintendo;18.36;2006
Super Mario Land;GB;Platform;Nintendo;18.14;1989
Super Mario Bros. 3;NES;Platform;Nintendo;17.28;1988
Grand Theft Auto V;X360;Action;Take-Two Interactive;16.38;2013
Grand Theft Auto: Vice City;PS2;Action;Take-Two Interactive;16.15;2002
Pokemon Ruby/Pokemon Sapphire;GBA;Role-Playing;Nintendo;15.85;2002
Pokemon Black/Pokemon White;DS;Role-Playing;Nintendo;15.32;2010
Brain Age 2: More Training in Minutes a Day;DS;Puzzle;Nintendo;15.3;2005
Gran Turismo 3: A-Spec;PS2;Racing;Sony Computer Entertainment;14.98;2001
Call of Duty: Modern Warfare 3;X360;Shooter;Activision;14.76;2011
Pokémon Yellow: Special Pikachu Edition;GB;Role-Playing;Nintendo;14.64;1998
Call of Duty: Black Ops;X360;Shooter;Activision;14.64;2010
Pokemon X/Pokemon Y;3DS;Role-Playing;Nintendo;14.35;2013
Call of Duty: Black Ops 3;PS4;Shooter;Activision;14.24;2015
Call of Duty: Black Ops II;PS3;Shooter;Activision;14.03;2012
Call of Duty: Black Ops II;X360;Shooter;Activision;13.73;2012
Call of Duty: Modern Warfare 2;X360;Shooter;Activision;13.51;2009
Call of Duty: Modern Warfare 3;PS3;Shooter;Activision;13.46;2011
Grand Theft Auto III;PS2;Action;Take-Two Interactive;13.1;2001
Super Smash Bros. Brawl;Wii;Fighting;Nintendo;13.04;2008
Call of Duty: Black Ops;PS3;Shooter;Activision;12.73;2010
Animal Crossing: Wild World;DS;Simulation;Nintendo;12.27;2005
Mario Kart 7;3DS;Racing;Nintendo;12.21;2011
Halo 3;X360;Shooter;Microsoft Game Studios;12.14;2007
Grand Theft Auto V;PS4;Action;Take-Two Interactive;11.98;2014
Pokemon HeartGold/Pokemon SoulSilver;DS;Action;Nintendo;11.9;2009
Super Mario 64;N64;Platform;Nintendo;11.89;1996
Gran Turismo 4;PS2;Racing;Sony Computer Entertainment;11.66;2004
Super Mario Galaxy;Wii;Platform;Nintendo;11.52;2007
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;Role-Playing;Nintendo;11.33;2014
Super Mario Land 2: 6 Golden Coins;GB;Adventure;Nintendo;11.18;1992
Grand Theft Auto IV;X360;Action;Take-Two Interactive;11.02;2008
Gran Turismo;PS;Racing;Sony Computer Entertainment;10.95;1997
Super Mario 3D Land;3DS;Platform;Nintendo;10.79;2011
Gran Turismo 5;PS3;Racing;Sony Computer Entertainment;10.77;2010
Call of Duty: Modern Warfare 2;PS3;Shooter;Activision;10.69;2009
Grand Theft Auto IV;PS3;Action;Take-Two Interactive;10.57;2008
Super Mario All-Stars;SNES;Platform;Nintendo;10.55;1993
Pokemon FireRed/Pokemon LeafGreen;GBA;Role-Playing;Nintendo;10.49;2004
Super Mario 64;DS;Platform;Nintendo;10.42;2004
Just Dance 3;Wii;Misc;Ubisoft;10.26;2011
Call of Duty: Ghosts;X360;Shooter;Activision;10.21;2013
Halo: Reach;X360;Shooter;Microsoft Game Studios;9.88;2010
Mario Kart 64;N64;Racing;Nintendo;9.87;1996
New Super Mario Bros. 2;3DS;Platform;Nintendo;9.82;2012
Halo 4;X360;Shooter;Microsoft Game Studios;9.76;2012
Final Fantasy VII;PS;Role-Playing;Sony Computer Entertainment;9.72;1997
Call of Duty: Ghosts;PS3;Shooter;Activision;9.59;2013
Just Dance 2;Wii;Misc;Ubisoft;9.52;2010
Gran Turismo 2;PS;Racing;Sony Computer Entertainment;9.49;1999
Call of Duty 4: Modern Warfare;X360;Shooter;Activision;9.32;2007
Donkey Kong Country;SNES;Platform;Nintendo;9.3;1994
Minecraft;X360;Misc;Microsoft Game Studios;9.2;2013
Animal Crossing: New Leaf;3DS;Simulation;Nintendo;9.09;2012
Mario Party DS;DS;Misc;Nintendo;9.02;2007
The Elder Scrolls V: Skyrim;X360;Role-Playing;Bethesda Softworks;8.84;2011
Super Mario Kart;SNES;Racing;Nintendo;8.76;1992
FIFA 16;PS4;Sports;Electronic Arts;8.49;2015
Wii Party;Wii;Misc;Nintendo;8.49;2010
Halo 2;XB;Shooter;Microsoft Game Studios;8.49;2004
Mario Party 8;Wii;Misc;Nintendo;8.42;2007
Pokemon Black 2/Pokemon White 2;DS;Role-Playing;Nintendo;8.33;2012
FIFA Soccer 13;PS3;Action;Electronic Arts;8.24;2012
The Sims 3;PC;Simulation;Electronic Arts;8.11;2009
GoldenEye 007;N64;Shooter;Nintendo;8.09;1997
Mario & Sonic at the Olympic Games;Wii;Sports;Sega;8.06;2007
Final Fantasy X;PS2;Role-Playing;Sony Computer Entertainment;8.05;2001
Final Fantasy VIII;PS;Role-Playing;SquareSoft;7.86;1999
Pokémon Platinum Version;DS;Role-Playing;Nintendo;7.84;2008
Pac-Man;2600;Puzzle;Atari;7.81;1982
Grand Theft Auto: Liberty City Stories;PSP;Action;Take-Two Interactive;7.72;2005
Super Mario Galaxy 2;Wii;Platform;Nintendo;7.69;2010
